plz	supermarkt	adresse	nr	lat	lon	id
	Conad Superstore - Supermercato			41.0211644	14.4608891	18127876
39050	Despar Tiers - Tires	Sankt-Georg-Straße	63	46.4687107	11.5256800	61964178
	PAM			45.6398691	13.7743311	95107093
	Auchan			42.4158948	14.1551854	98287810
22100	Bennet	Via Asiago	2	45.8373145	9.0633798	117606346
	Supermarket Despar			46.7795881	11.2254118	123394976
65129	Auchan	Via Tiburtina Valeria	386	42.4272487	14.1854494	203398457
	Eurospin			43.8772070	10.7828457	228068014
				45.0923795	7.7036213	246819268
	Cesare e Rita alimentare			44.3126479	7.7242760	246824462
	CRAI			42.2584187	12.1748742	246968323
	Carrefour			42.2579957	12.1675836	246968646
	Ekom			44.3990842	8.9930921	247350148
	Ekom	Via Molassana	87 rosso b	44.4537611	8.9797613	247350179
	Pam			43.8686189	10.2573265	247805093
	COOP	Via T. Romagnola	188	43.6707060	10.5803851	247857496
		Via della Rimembranza	6	43.6962450	10.5180210	247873660
	Penny Market			43.6699625	10.5965145	247885955
	La bottega delle delizie			44.3040249	7.7083761	247985794
	Famiglia Cooperativa	Via per Cognola	27	46.0706912	11.1396505	248051531
	COOP			43.0802788	12.3378998	248765359
55100	Esselunga di viale Del Prete	Viale Carlo Del Prete	565	43.8486422	10.4990096	248908257
				46.2898165	11.5115513	249385950
	PAM			45.6576378	13.7728880	249546514
20092	Il Gigante	Via Edmondo De Amicis	2	45.5610245	9.2285762	249698314
	Ipercoop			42.4148819	14.1677567	250052540
	LIDL			45.4475850	9.1420016	250969620
	Cantina Sociale di Argelato			44.6394911	11.3541109	251864987
	Dpiù			44.6408805	11.3518553	251864999
40122	Pam	Via Guglielmo Marconi	28a	44.4991233	11.3383924	252168390
	Penny Market Caprona			43.7043562	10.5068398	253560601
	Carrefour Express			44.4121141	8.9584775	254083201
	Carrefour Express			44.4040684	8.9415004	254486445
	Penny Market			44.4118352	8.9693073	254563704
	Tuodì Market			44.4078263	8.9588832	254563903
	Basko			44.4069461	8.9588144	254564079
36100	Famila	Galleria Parco Città	86	45.5579931	11.5661518	254675232
	U2			45.4879879	9.2418033	255137455
	Carrefour Express			44.6118533	8.9534776	255189569
	Noi Simply	Via Piero Pinetti	26 rosso	44.4205722	8.9698510	255189874
	Conad	Via Fabio Filzi	117	43.8531096	10.2616495	255328809
	Ekom			44.4110079	8.9690625	255386961
20149	Iper Portello	Via Don Luigi Palazzolo	20	45.4901442	9.1454007	255508749
35138	Eurospar	Via Monte Cengio	31	45.4106278	11.8579273	256072065
	Carrefour Express	Via Carlo Pisacane	95 rosso	44.4015740	8.9475988	256224298
	Carrefour Express			44.4068726	8.9421447	256404094
	Carrefour Express			44.3968271	8.9480059	256409484
	Di meglio			44.3971711	8.9481269	256409487
	Pam	Via Aldo Manuzio	11 rosso	44.4087005	8.9659024	256423624
	Carrefour Express			44.4160744	8.9561441	256569154
	In's			44.4143181	8.9553915	256569171
	Conad			44.4138257	8.9544035	256569202
	Tuodì Market			44.4121016	8.9559135	256569576
	Conad city			44.4104917	8.9543622	256569706
	Ekom			44.4064780	8.9523116	256569726
	Carrefour			44.3984756	8.9467330	256570002
	EMME più			41.8931100	12.5094654	256592970
	Eurospin			44.4161809	8.9496054	256764943
	Lidl			44.4156492	8.9539658	256765095
	Unicoop Tirreno			43.8905018	10.2460911	256819101
				45.5012906	9.4306954	256873877
				45.5063787	9.4294226	256892718
	Ekom			44.4185571	8.9473785	256951676
16139	Ekom	Via Francesco Montebruno	50	44.4199607	8.9498292	256951721
	Prix			45.5696200	11.5723089	257349125
	Coop			45.0744520	11.7980977	257526255
	Alì			45.0782837	11.7855201	257526930
				45.0739415	11.7816798	257527918
	Despar			45.0698509	11.7742075	257527919
				45.0742335	11.7771895	257527922
	Carrefour Express			44.4192630	8.9662825	257539318
	Carrefour Express			44.4025114	8.9834076	257756543
	Coop			44.4191274	8.9144434	257921773
	Pam	Viale Sabotino	6	45.4508025	9.1980350	258035187
	Basko			44.4056154	8.9755981	258050347
	Tuodì Market			44.4052852	8.9657090	258050702
	Basko			44.3974631	8.9812044	258057407
	Carrefour express H24			44.4060675	8.9734910	258058275
	Carrefour Market	Piazza Diocleziano	4	45.4880185	9.1662268	258076731
20155	Pam local	Via Mac Mahon	8	45.4887952	9.1650628	258076763
	Carrefour Express	Via Giovanni Torti	132 rosso	44.4072716	8.9628944	258331339
	OK Sigma			44.4571763	8.9033401	259182352
	Carrefour Express	Via Bolzaneto	24 rosso	44.4593695	8.9023874	259182389
	Carrefour Express			44.4569753	8.9021733	259182688
	Carrefour Express			44.4018120	8.9356038	259192656
	Lidl			45.4625802	9.1491516	259592419
76017	Lidl	Via degli Ulivi		41.3089010	16.0723824	259977300
	Famiglia Cooperativa			46.2730677	11.4160248	260572280
	Alimentari Cavada			46.2737428	11.4194903	260572772
	COOP			44.4189466	8.9506335	260953974
	Famiglia Cooperativa			46.2815749	11.4346627	261086639
	Carrefour Express			44.4166314	8.9617575	262123818
	Carrefour Market			46.0625720	8.6970486	262423146
	Carrefour Express			44.4297801	8.8927529	262644301
	Carrefour Express			44.4310968	8.8932948	262644573
	Carrefour Express			44.4138846	8.9262977	262653454
	Dico			44.4149340	8.8908639	262655767
	PuntoSMA			44.4139815	8.8896818	262656336
	Carrefour Express			44.4145422	8.8890103	262656420
	In's			44.4115332	8.8952608	262656686
	Ekom			44.4099985	8.8987890	262656911
	Basko	Passo Antiochia	1 rosso	44.4035131	8.9502142	262769137
	Carrefour Express			44.4144245	8.9292676	262769268
	EuroSpin			42.5044095	14.1640347	262894032
	Carrefour Express			44.4089394	8.9315763	262962495
	In's			44.4097490	8.8935792	264049634
	Asim			44.4121065	8.8861925	264050967
	Ekom			44.4112543	8.8889906	264051416
	Carrefour Express			44.4090908	8.9506911	264246510
	Ekom			44.4078432	8.9289955	264671751
65015	Oasi	Corso Umberto I	334	42.5075129	14.1591310	264675662
	Carrefour Express			44.4213591	8.9223822	265738977
	E' il mio mercato			44.4137203	8.9455077	265741850
	Carrefour Express			44.3843173	9.0359289	266022592
	Carrefour Express			44.3621304	9.1428927	266153826
	Coop			44.3628483	9.1456639	266159772
	Carrefour Market			44.4070117	8.9647195	266336801
21053	Il Gigante	Via Armando Diaz	7	45.6066767	8.8994113	266350990
20122	Punto SMA	Viale Sabotino	38	45.4512792	9.2026755	266384203
	Conad			42.7447680	10.3817258	266546050
	Conad City			46.1282239	9.2808013	266798588
	Carrefour Express			44.4031943	8.9529877	267110443
	Issimo			44.4167168	8.9474751	267111051
	Carrefour Express			44.4122156	8.9302581	267221641
	Carrefour Express			44.4121158	8.9345586	267344677
	Carrefour Express			44.4084270	8.9899578	267560569
				38.1279639	13.3510938	267672279
	COOP			38.1232879	13.3552181	267672822
	GS			38.1278071	13.3532220	267793183
	Carrefour Express	Piazzale Parenzo	41	44.4231636	8.9487682	268180735
	Mercato Comunale			45.4311351	9.1628710	268403462
	Franceschina			45.3028284	10.7925666	268420433
	Coop			46.0854316	11.2155690	268421805
	Coop			44.3904319	8.6426799	268673415
56017	Mondo Risparmio	Via Borrani	2	43.7444586	10.3697743	268871531
	Conad City			45.6669666	13.7712051	269056028
	PAM			45.6651422	13.7700871	269056029
				46.1436183	11.2188721	269348457
	Carrefour Express			44.4180704	8.9566347	269352352
	Basko			44.4168391	8.9550052	269366869
	Coop	Via dei Mille	32 rosso	44.3930281	8.9844381	269528538
	Conad I Cigni			44.4391911	12.2903665	269604393
	Basko			44.4139790	8.8847255	269706506
	COOP Nord Est			45.6633173	13.7700634	270112602
	Coop	viale Talenti	94	43.7740913	11.2163250	270387662
	Carrefour Express			44.3895323	9.0084092	270693237
	Coop			44.2259922	12.0283530	270893270
				45.6236940	13.8061484	271027018
	Lidl	Corso Ferdinando Maria Perrone	26 rosso	44.4178592	8.8776614	271149498
	IN's			44.4167204	8.8767020	271149500
	Penny market			43.5516438	11.5416421	271161371
	Lidl			43.5514687	11.5428477	271161373
	Lidl	Corso Umberto I	451	42.4988874	14.1721464	271348532
	Carrefour Express			44.4004487	8.9582911	271361571
	Coop			43.3306011	11.3278916	271420892
	Porta Siena			43.3308822	11.3229094	271420894
	COOP			46.3691185	11.6512289	272337350
	Despar			43.3939139	11.3108688	272513891
	punto SMA	Via Giorgio Washington		45.4640671	9.1553131	272868630
	Coop	Piazzale Traghetti Iqbal Masih	13	44.4109986	8.9094193	273350466
45010	IperLando	Via del Comercio	1	45.0837986	12.2507499	274826589
	Dimeglio			41.2741682	16.4060820	275167775
	Supergulliver			44.4296665	8.7610763	275928970
				46.0169011	11.1056042	275995565
	Alì			45.5606839	12.2528387	276213453
	Famiglia Cooperativa			46.1321475	11.2439692	276248574
	Despar			46.1343174	11.2491243	276248577
				46.1316692	11.2469627	276248579
	DeSpar			45.7891177	10.8245767	276501756
37018	Spar	Via Navene	18	45.7656034	10.8105136	276510873
	Conad City			45.6410281	13.7621303	277577258
	PennyMarket			45.5004259	9.1653078	278201331
21021	Conad	Via Varesina	62	45.7820884	8.5911790	279155656
	Carrefour			44.1477859	8.2791018	279256611
	Eurospin	Via Suor Maria Giuseppa Rossello	41	44.1465998	8.2783008	279256614
39039	Despar Eppacher	Via Stazione - Bahnhofsstraße	1	46.7375017	12.1681067	279714574
39039	Gol Market	Piazza Von Kurz - Von Kurz Platz	1	46.7380902	12.1686895	279716568
	Coop Famiglia			46.3508636	10.9103205	280739165
	DeSpar			46.3159101	10.8026501	281007630
	Conad Boschetto			43.9987595	12.6312577	281339878
	Penny			45.5381914	10.5313509	281480633
	Famiglia Cooperativa			46.3165834	10.7957428	281487646
20145	Conad City	Via Michelangelo Buonarroti	11	45.4683645	9.1549991	281582146
	Pam			45.4636540	9.1323827	281592905
	Carrefour Market	Via Carlo Farini	79	45.4954632	9.1852280	281727033
	Punto SMA			45.4675023	9.2125460	282181279
20129	Carrefour Market	Via Leopoldo Cicognara	2	45.4682474	9.2224194	282181459
	Punto Simply			45.4741594	9.2184026	282181931
	Esselunga di Pavia - alla Minerva	Via Fabio Filzi	6	45.1899988	9.1490030	282338811
				45.6308147	13.0018167	282644096
				46.7679789	12.0164980	283352617
	Corimbo			45.6329614	13.0122283	283397297
	Quali Market	Viale dei Ginepri	140	45.6326166	13.0041206	283397387
				41.0866769	17.0002789	283668969
				41.0868387	16.9962706	283669080
	Quali Market			45.6318410	12.9967975	285293270
37017	Lidl	Localita La pezza		45.5030325	10.7422143	285895878
	My Lodi			45.3012523	9.4928738	286204701
	Despar			46.7197922	12.1318852	288389994
	Famiglia Cooperativa di Povo			46.0662059	11.1544666	288911508
32043	kanguro	Via Barone Franchetti	1	46.5370470	12.1405035	289485917
	Conad			45.3894329	11.9654283	290040241
	Carrefour Market			41.7771772	12.3413075	290070647
	Famiglia Cooperativa			46.0768325	11.1419313	292021548
	Bennet			45.1525879	9.1240855	292808571
	NaturaSI'			45.4670090	9.1285962	292846192
	Coop			42.9277407	10.7654713	292853136
				42.7473926	10.9504762	292997502
	Panificio Alimentari Nobis			45.2703568	10.7750008	293101116
	Conad City			46.0611105	11.2388017	293868274
	Eurospar			45.9079738	11.0407811	294472162
	Pewex	Via di Grotta Perfetta	360	41.8446306	12.4909213	294768368
	DiPerDì			45.1774729	9.1905717	295475128
	Dico			40.3855997	9.7029853	296066526
	Callegaro			45.7642814	11.8077498	296537658
	Dpiù			44.6934491	12.2219055	296859586
	Metà			45.4359450	11.8704596	296955042
	Eurospar			45.4484812	11.8719862	296955316
	D			45.4403427	11.8867864	296963264
	Spar			45.0752473	12.2392880	297181497
	Esselunga			45.4696845	9.1341992	297700039
	Super Mac	Via per Cutrofiano		40.1389307	18.1985718	297940888
	Eurospin			46.0893811	11.1329721	298086062
	Pescatore			45.0632587	12.3470044	298323387
34121	Despar	Piazza Unità d'Italia	3/A	45.6495421	13.7676496	298373862
	Tuodi			40.6356698	14.4056687	298536408
	CONAD			40.6316504	14.4073309	298536542
	Maxì Supermercati			45.6134921	13.8259719	298982988
70038	Supermercati Dok	Viale Federico II	40/P	41.1323332	16.5500932	299254823
	Famiglia Cooperativa			45.9078222	10.8412336	299263438
	Coop			43.3499235	10.4624817	299361151
	EuroSpin			40.7128181	9.6892189	299418663
	Despar			46.9205696	11.9511514	299473832
	Conad			46.9181285	11.9590326	299473920
	GOL market			46.9477079	12.0610253	299495924
				46.9180424	11.8034039	299503407
	Conad			44.0579451	10.0857518	299684348
	Iper Castelfranco - I Giardini del Sole			45.6819980	11.9410249	299847112
				45.6563932	13.7762366	300251008
39023	Konsum	Vinschgaustraße - Via Venosta	49	46.6164161	10.7004733	300587695
	Todis			41.8763420	12.5176154	300605243
	Despar			46.6169649	10.7032637	300606712
	Lidl			45.7774305	11.7544966	300852188
	DIX			45.7527530	11.7632347	300868755
	Conad			40.9124824	15.4200529	301220207
	Cooperativa di Strembo			46.1206938	10.7516126	301805522
	Famiglia Cooperativa			46.1925747	11.1612811	302088516
	Cantina Frantoio	Via San Nazzaro	4	45.8974302	10.8527754	302102627
	Antola			44.5190069	9.0546785	302866425
	Gulliver			44.3192173	8.4728822	302958138
	Vivo			46.1952600	11.1313911	303632542
	Famiglia Cooperativa			46.1933171	11.1325889	303632543
	Conad			46.3135246	11.6020321	303781658
	Lidl			44.4315753	8.8480456	303810511
	dìperdì			44.4290628	8.8497943	303813109
	Metà			44.4267239	8.8471533	303813433
	Supermercato Poli			46.3036354	11.5932141	303820047
	Lidl			45.8965602	10.8520823	303821068
	Famiglia Cooperativa			46.3128694	11.6007515	303822587
	Despar			46.3141926	11.5985130	303825064
				45.6690906	13.7653531	303969824
	SAIT			45.8452313	10.9799342	304045472
	Supermercati Poli			45.7593408	11.0025475	304071612
20144	PAM	Via Vincenzo Foppa	33	45.4569428	9.1587002	304241393
	Monte Nai			39.2518282	9.5726760	304358061
