plz;supermarkt;adresse
10115;Alnatura;Chausseestraße 10
10115;BIO DELI Natur- und Feinkost Berlin Mitte;Invalidenstraße 153
10115;Bio Company;Chausseestraße 19
10115;Kosherlife Koshere Lebensmittel;Brunnenstraße 31
10115;Rewe;Chausseestraße 118-120
10115;Rewe;Invalidenstraße 158
10117;Alnatura;Friedrichstraße 191
10117;Bio Company;Friedrichstraße 136
10117;HIT Ullrich Verbrauchermarkt;Mohrenstraße 69
10117;Lidl;Leipziger Straße 42
10117;Lidl;Luisenstraße 52
10117;Penny;Friedrichstraße 69-70
10117;Rewe;Friedrichstraße 100
10117;Rewe;Friedrichstraße 67-70
10117;Rewe;Leipziger Straße 100
10119;Bio Company;Brunnenstraße 6
10119;Edeka;Templiner Straße 12
10119;Rewe;Schönhauser Allee 10-11
10119;denn's Biomarkt;Templiner Straße 12
10119;nahcity;Rosenthaler Straße 11
10178;Aldi;Berolinastraße 7A
10178;Asia Markt;Dircksenstraße 102
10178;Asia-Mekong;Henriette-Herz-Platz 1
10178;Asia-Mekong;Panoramastraße 1
10178;Bio Company;Dircksenstraße 145-147
10178;Kaufland;Karl-Liebknecht-Straße 13
10178;Netto Marken-Discount;Alex-Wedding-Straße 3
10178;Netto Marken-Discount;Rathausstraße 5
10178;Rewe City;Litfaß-Platz 4
10178;denn's Biomarkt;Alexanderplatz 2
10179;Aldi;Heinrich-Heine-Platz 8-12
10179;Alnatura;Alte Jakobstraße 79-80
10179;Edeka Ungefroren;Fischerinsel 12
10179;Netto Marken-Discount;Alte Jakobstraße 83
10179;denn's Biomarkt;Annenstraße 48
10243;Aldi;Tamara-Danz-Straße 11
10243;Edeka Kelz;Straße der Pariser Kommune 38
10243;NA;Rüdersdorfer Straße 65
10243;Nahkauf;Karl-Marx-Allee 116
10243;Naturkost Ditt;Karl-Marx-Allee 54 - 56
10243;Veganz;Warschauer Straße 33
10245;Bio Company;Boxhagener Straße 73
10245;Kernkraft - Rund um die Nuss;Markgrafendamm 3
10245;Lidl;Warschauer Platz 14
10245;Netto;Corinthstraße 36
10245;Penny BOX80;Boxhagener Straße 80
10245;denn's Biomarkt;Boxhagener Straße 103
10247;Bio Company;Voigtstraße 38
10247;Edeka Rigaer Straße;Rigaer Straße 44
10247;Edeka Ringcenter;Frankfurter Allee 105
10247;Edeka;Frankfurter Allee 35 - 37
10247;Hao Hao;Voigtstraße 40
10247;Kiezmarkt;Weidenweg 56
10247;LIDL;Rigaer Straße 37
10247;NA;Gürtelstraße 17a
10247;Netto Marken-Discount;Frankfurter Allee 57-59
10247;Rewe;Eldenaer Straße 42
10247;Schnell Minimarkt;Voigtstraße 43
10247;Wurzelwerk Bioladen;Oderstraße 10
10315;Aldi;Alfred-Kowalke-Straße 3
10315;NA;Alt-Friedrichsfelde 25
10315;NA;Rhinstraße 17
10315;NP;Massower Straße 5
10315;Penny;Seddiner Straße 8
10315;Rewe;Alfred-Kowalke-Straße 2
10317;NA;Hauptstraße 36
10317;Norma;Hauptstraße 4a
10317;Wurzelwerk Bioladen;Kaskelstraße 16
10318;Bio Company;Treskowallee 114
10318;Edeka;Rheinsteinstraße 4-12
10318;NA;Verlängerte Waldowallee 44
10318;Netto Marken-Discount;Treskowallee 115
10319;Kaufland;Sewanstraße 4-6
10319;NA;Sewanstraße 44
10319;Netto Marken-Discount;Otto-Schmirgal-Straße 3
10319;Penny;Volkradstraße 32
10319;Rewe;Volkradstraße 32
10365;Natur Pur;Frankfurter Allee 231
10365;Norma;Mauritiuskirchstraße 3
10365;Real;Frankfurter Allee 113-117
10369;Norma;Anton-Saefkow-Platz 8
10405;Barlu Lebensmittelgroßhandel;Greifswalder Straße 80c
10405;Bio Company;Greifswalder Straße 212
10405;Bio Company;Prenzlauer Allee 180
10405;Centro Italia;Greifswalder Straße 80c
10405;Edeka;Straßburger Straße 9A-C
10405;Enten und Katzen;Winsstraße 58
10405;LPG Biomarkt;Kollwitzstraße 17
10405;Lidl;Greifswalder Straße 33a
10405;Lidl;Prenzlauer Allee 44
10405;Netto;Belforter Straße 20
10405;Penny;Prenzlauer Allee 181
10405;denn's Biomarkt;Greifswalder Straße 31
10405;nahcity Duong;Greifswalder Straße 119
10407;Central Food + Getränkemarkt;Danziger Straße 122
10407;Lidl;Kniprodestraße 26a
10407;NA;Conrad-Blenkle-Straße 36
10407;Netto Marken-Discount;Storkower Straße 128b
10407;Rewe City;John-Schehr-Straße 20-24
10407;Rewe;Pasteurstraße 19
10409;Edeka Ostseestraße;Ostseestraße 107-109
10409;Netto;Greifswalder Straße 90
10409;Penny;Grellstraße 75
10409;Rewe;Grellstraße 75
10409;Spreewald Müller;Greifswalder Straße 87
10435;Gaumenweide;Granseer Straße 8
10435;Lidl;Choriner Straße 64/64a
10435;Rewe;Schönhauser Allee 36-39
10435;denn's Biomarkt;Bernauer Straße 50
10437;Bio Company;Gleimstraße 30-35
10437;Edeka;Gleimstraße 19
10437;Kutzner & Kutzner;Schönhauser Allee 65
10437;Netto;Schönhauser Allee 119
10437;Rewe City;Schönhauser Allee 130
10437;denn's Biomarkt;Schliemannstraße 48
10551;Edeka;Wiclefstraße 60-62
10551;Go Asia Berlin-Mitte;Turmstraße 29
10551;NA;Oldenburger Straße 49
10551;NA;Turmstraße 42
10551;Norma;Bremer Straße 9
10551;Penny;Turmstraße NA
10551;Rewe;Turmstraße 60
10553;Doğan Supermarkt;Beusselstraße 76
10555;Edeka Simon;Levetzowstraße 10-10a
10555;Grüner Laden;Bundesratufer 5
10555;Netto Marken-Discount;Alt-Moabit 86A
10555;TS Foods Supermarkt;Alt-Moabit 74
10557;Calvin Discount;Calvinstraße 1
10557;Edeka;Invalidenstraße 74
10559;Edeka;Rathenower Straße 48
10559;Edeka;Stephanstraße 37-43
10559;Habibi;Stendaler Straße NA
10585;Edeka Otto-Suhr-Allee;Otto-Suhr-Allee 105
10585;Hit Ullrich;Wilmersdorfer Straße 26-28
10585;Penny;Wilmersdorfer Straße 32-33
10585;Reformhaus Bagheri;Wilmersdorfer Straße 157
10585;Rewe;Otto-Suhr-Allee 80-82
10585;Rewe;Otto-Suhr-Allee NA
10587;Edeka;Helmholtzstraße 3 c
10587;FrischeParadies;Morsestraße 2
10589;Edeka;Osnabrücker Straße 27
10589;Rewe;Sömmeringstraße 24-26
10623;Edeka Jost;Kantstraße 24
10623;denn's Biomarkt;Grolmanstraße 48
10625;Aldi;Leibnizstraße 73
10625;Mitte Meer;Kantstraße 42
10625;Penny Leibnizstraße;Leibnizstraße 23
10625;Rewe City;Bismarckstraße 91
10627;Edeka Wilmersdorfer Straße;Wilmersdorfer Straße NA
10627;Go Asia;Kantstraße 10
10627;Lidl;Wilmersdorfer Straße 126
10627;Nahkauf;Fritschestraße 45-46
10627;Nazar Market;Wilmersdorfer Straße 132
10627;Safrani;Wilmersdorfer Straße 44
10629;Alnatura;Giesebrechtstraße 4
10629;Balkan Šop-Ilić;Dahlmannstraße 22
10707;Alnatura;Konstanzer Straße 2
10707;Bio Company;Fehrbelliner Platz 5
10707;Netto;Pariser Straße 41
10709;Lidl;Seesener Straße 10-13
10709;Netto;Albrecht-Achilles-Straße 52-53
10709;Rewe City;Kurfürstendamm 142
10711;Bio Company;Heilbronner Straße 12
10713;Reformhaus Nourrisson;Blissestraße 2-6
10715;BIO COMPANY;Uhlandstraße 103
10715;Bio Company;Babelsberger Straße 52
10715;Edeka Burau;Mainzer Straße 13
10717;Asia Feinkost - Obst & Gemüse;Uhlandstraße 125
10717;DelikatEssen Discounter;Güntzelstraße 40
10717;Edeka Jenaer Straße;Jenaer Straße 27
10717;Erdkorn;Bundesallee 201-203
10719;Edeka;Knesebeckstraße 56
10719;Fair unverpackt;Düsseldorfer Straße 12
10719;Lidl;Knesebeckstraße 38
10719;Nah und Gut Völker;Düsseldorfer Straße 74
10719;Netto Marken-Discount;Kurfürstendamm 38
10777;Bio Company;Martin-Luther-Straße 14
10777;Biomarkt Speisekammer Eldorado;Motzstraße 24
10777;Edeka Nollendorfplatz;Nollendorfplatz 8-9
10777;Edeka;Geisbergstraße 22
10777;Edeka;Viktoria-Luise-Platz 10
10777;Netto Marken-Discount;Martin-Luther-Straße 24
10779;Aldi;Prager Platz 2a
10779;Edeka Martin-Luther-Straße;Martin-Luther-Straße 52-54
10781;Edeka;Barbarossastraße 69
10781;Penny;Winterfeldtstraße 74
10783;Alnatura;Else-Lasker-Schüler-Straße 18-22
10783;Eurogida;Potsdamer Straße 152
10783;Nahkauf;Bülowstraße 44
10783;Nazar Supermarkt;Potsdamer Straße 111
10783;Rewe;Potsdamer Straße 128
10785;Edeka Genthiner Straße;Genthiner Straße 42
10787;Bolu;Kleiststraße 32-33
10787;Edeka Budapester Straße;Budapester Straße 38-50
10787;Lidl;Kleiststraße 3-6
10787;Netto City;Kurfürstenstraße 75
10787;Vinh-Loi Asien-Supermarkt;Ansbacher Straße 16
10789;Edeka Wittenbergplatz;Wittenbergplatz 4
10789;Netto Marken-Discount;Nürnberger Straße 25/26
10823;Bionapf;Belziger Straße 29
10823;Penny;Grunewaldstraße 36-37
10825;Ariston;Meraner Straße 19
10825;Nahkauf;Badensche Straße 56
10827;Aldi;Kaiser-Wilhelm-Platz 2
10827;Bio Company;Hauptstraße 31,32
10827;Biolino;Crellestraße 38
10827;Edeka;Kaiser-Wilhelm-Platz 1-2
10827;Istanbul Supermarkt;Dominicusstraße 29
10827;Lidl;Innsbrucker Platz NA
10827;Penny;Dominicusstraße 37
10827;Rewe;Hauptstraße NA
10827;Vitalia;Kaiser-Wilhelm-Platz 1-2
10827;asien supermarkt go asia;Hauptstraße 132
10827;denn's Biomarkt;Hauptstraße 11
10827;Öz-Gida;Hauptstraße 16
10829;BioInsel;Leberstraße 2
10829;Mitte Meer;Kolonnenstraße 30 b
10829;Rewe Yorckbrücken;Bautzener Straße 21-24
10961;Edeka Bergmannstraße;Bergmannstraße 5
10961;Veganz;Marheinekeplatz 15
10961;nah und gut;Gneisenaustraße 84
10965;Aldi;Kreuzbergstraße 39
10965;Bio Company;Friesenstraße 1
10965;LPG Biomarkt;Yorckstraße 24
10965;Original Unverpackt;Großbeerenstraße 27A
10967;Bioladen;Graefestraße 69
10967;Bolu;Kottbusser Damm 75
10967;Edeka;Hasenheide 107-108
