17033;Kaufland;Torfsteg 11
17033;E Neukauf;Marktplatz 2
17033;Netto;Gebrüder-Boll-Straße 1e
17033;Aldi;Platanenstraße 14
17033;Biomarkt NB;Friedländer Straße 1
17033;Rewe;Ludwig-van-Beethoven-Ring 6
17033;Edeka;Am Kaufhof-Süd 8
17033;Real;Mirabellenstraße 2
17034;Netto Marken-Discount;Max-Adrion-Straße 1
17034;Netto Marken-Discount;Demminer Straße 44a
17034;Netto Marken-Discount;Burgholzstraße 37
17034;Netto;Sponholzer Straße 6
17039;Nahkauf;Neubrandenburger Straße 49
17087;Netto;Fritz-Reuter-Straße 9b
17087;Edeka;Fritz-Reuter-Straße 9c
17098;Rewe;Rudolf-Breitscheid-Straße 91
17153;Edeka;Gülzower Damm 3a
17153;Aldi;Werdohler Straße 3
17153;Rewe;Werdohler Straße 3
17153;Edeka;Schultetusstraße 24A
17154;E neukauf Thimian;Am Markt 18
17166;Netto Marken-Discount;Am Bornmühlenweg 2
17166;Rewe;Fischersteig 21
17166;Frischemarkt Clasen;Malchiner Straße 26
17192;Famila;Friedrich-Wilhelm-Raiffeisen-Straße 1c
17192;ALDI;Friedrich-Wilhelm-Raiffeisen-Straße 1b
17192;Edeka;Karl-Bartels-Straße 8
17192;Rewe;Warendorfer Straße 4
17192;Edeka - Marktplatz;Neuer Markt 23
17192;Netto Marken-Discount;Friedensstraße 15
17192;Edeka Teterower Straße;Teterower Straße 29
17192;De Gaude Kost Naturwarenladen;Strandstraße 3
17194;Thomas Phillips Sonderposten;Hans-Beimler-Straße 43
17207;Aldi Nord;Warener Chaussee 11
17217;Frischemarkt Wessel;Große Straße 58
17235;Netto;Karbe-Wagner-Straße 51
17235;Aldi;Penzliner Straße 47
17235;Netto;Zierker Straße 20
17235;Edeka D. Groth;Kühlhausberg 7
17235;Penny;Wilhelm-Stolte-Straße 134
17235;Netto Marken-Discount;Wilhelm-Stolte-Straße 70
17235;Kaufland;Strelitzer Straße 24
17255;NETTO;Mirower Chaussee 5
17321;NETTO;Chausseestraße 36A
17321;Nahkauf;Chausseestraße 90A
17321;Netto Marken-Discount;Pasewalker Straße 32
17321;Bio Hofladen;Dorfstraße 56
17358;Norma;Buchenstraße 1b
17389;famila;Silostraße 2
17389;Nahkauf;Markt 7
17390;U Express;Boulevard Pasteur 14
17419;Netto Marken-Discount;Lindenstraße 76
17419;Edeka Idelberger;Seestraße 9
17424;Aldi;Labahnstraße 18
17429;Rewe;Seestraße 18
17438;Ostprodukte-Laden;Steinstraße 16
17454;Edeka;Neue Strandstraße 38
17489;Lidl;Gützkower Landstraße 12
17489;Lidl;Anklamer Straße 30
17489;Nah & Frisch;Lange Straße 40-42
17489;5 Plus;Anklamer Straße 32a
17489;Sonnenmichel;Anklamer Straße 17
17489;Pommerngrün Naturkostladen & Bio-Imbiss;Rudolf-Petershagen-Allee 18a
17489;Aldi;Bahnhofstraße 44
17489;Edeka;Bahnhofstraße 44
17489;Netto Marken-Discount;Hans-Beimler-Straße 100
17489;Norma;Feldstraße 81
17489;Netto;Loitzer Landstraße 36a
17491;Netto;Sandfuhr 1
17491;Rewe;Ernst-Thälmann-Ring 11 - 13
17491;ALDI Nord;Ernst-Thälmann-Ring 56
17491;Bio Vio Naturkosmetik & Naturkost;Gaußstraße 12
17493;Netto;Warschauer Straße 17
17493;Aldi;Fridtjof-Nansen-Straße 27
17493;Edeka Kopitzki;Rigaer Straße 9
17495;Einkaufsmarkt Bartelt;Dorfstraße 3
17506;Lidl;Greifswalder Straße 1
17506;Netto;Greifswalder Straße 9b
17509;Netto Marken-Discount;Wusterhusener Straße 17
17509;Edeka;Spandowerhagener Weg 1
18106;ALDI;Bertolt-Brecht-Straße 23
18106;Edeka;Bertolt-Brecht-Straße 23
18106;Netto Marken-Discount;Kolumbusring 61
18109;Rewe;Güstrower Straße 6a
18109;NETTO;Werftallee 20
18109;Netto Marken-Discount;Schiffbauerring 68
18147;NETTO;Pressentinstraße 63b
18184;Thomas Philipps Sonderposten;Am Handelspark 3
18225;EDEKA;Hafenstraße 1
18225;Netto Marken-Discount;Hermannstraße 19
18273;CAP-Markt;Markt 12
18437;Famila;Grünhufer Bogen 13-17
18437;Rewe;Rostocker Chaussee 16
18439;Rewe;Frankendamm 27
18439;Edeka;Ossenreyerstraße 57
18439;Real;Gustower Weg 3
18439;Aldi;Gustower Weg 3
18439;Netto Marken-Discount;Frankendamm 86
18445;Edeka;Stralsunder Straße 9a
18507;CAP-Markt;Erich-Weinert-Straße 37
18507;Netto Marken-Discount;Friedrichstraße 70
18513;Vorsicht Geschmack;Bassendorf 21a
18528;Nahkauf;Ruschwitzstraße 56
