primary_key;zipcode;city;state;community;latitude;longitude
10985;56332;Lehmen;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2833;7.45
10986;56332;Alken;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.25;7.45
10987;56332;Kattenes;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2519;7.4416
10988;56332;Oberfell;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2604;7.4446
10989;56332;Wolken;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.3333;7.4667
10990;56332;Niederfell;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2833;7.4667
10991;56332;Burgen;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2113;7.3896
10992;56332;Dieblich;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.314;7.4718
10993;56332;Brodenbach;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2333;7.45
10994;56332;Löf;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.2333;7.4333
10995;56333;Winningen;Rheinland-Pfalz;Landkreis Mayen-Koblenz;50.3167;7.5167
10996;56335;Neuhäusel;Rheinland-Pfalz;Westerwaldkreis;50.3836;7.7096
10997;56337;Eitelborn;Rheinland-Pfalz;Westerwaldkreis;50.3781;7.7233
10998;56337;Arzbach;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.379;7.7495
10999;56337;Simmern;Rheinland-Pfalz;Westerwaldkreis;50.3891;7.674
11000;56337;Kadenbach;Rheinland-Pfalz;Westerwaldkreis;50.3833;7.7333
11001;56338;Braubach;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2736;7.6451
11002;56340;Osterspai;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2445;7.6123
11003;56340;Dachsenhausen;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2434;7.6809
11004;56341;Filsen;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2402;7.5849
11005;56341;Kamp-Bornhofen;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2228;7.6236
11006;56346;Lykershausen;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2;7.6667
11007;56346;Sankt Goarshausen;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1584;7.7137
11008;56346;Prath;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1833;7.6833
11009;56348;Dahlheim;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2102;7.6958
11010;56348;Weisel;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1167;7.8
11011;56348;Bornich;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1269;7.7658
11012;56348;Kestert;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1833;7.65
11013;56348;Patersberg;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.15;7.7333
11014;56348;Dörscheid;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1;7.75
11015;56349;Kaub;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.0883;7.7607
11016;56355;Oberbachheim;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2463;7.748
11017;56355;Lautert;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1667;7.8333
11018;56355;Hunzel;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.249;7.8373
11019;56355;Endlichhofen;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2018;7.8181
11020;56355;Winterwerb;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2364;7.739
11021;56355;Diethardt;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1667;7.8667
11022;56355;Kehlbach;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2592;7.7588
11023;56355;Weidenbach;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.15;7.8833
11024;56355;Bettendorf;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2331;7.8688
11025;56355;Nastätten;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1988;7.8589
11026;56357;Berg;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2543;7.8114
11027;56357;Buch;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.2;7.8667
11028;56357;Auel;Rheinland-Pfalz;Rhein-Lahn-Kreis;50.1667;7.7667
