plz;supermarkt;adresse
56338;Netto Marken-Discount;Heinrich-Schlusnus-Straße 5
56346;Rewe;Nastätter Straße 2-6
56348;EDEKA-Markt Dauer;Rathausstraße 19
56349;;Metzgergasse 17
56355;Rewe;Bahnhofstraße 7
56355;Die Kornkammer;Rheinstraße 5
56357;Lebensmittel Minor;Taunusstraße 3
56357;Dorfladen;Taunusstraße 9
56368;Netto Marken-Discount;Lahnstraße 39
56377;Aldi Süd;Bahnhofstraße 18
56377;Rewe;Emser Straße 37
56410;Norma;Bahnallee 24
56410;EDEKA Fuhrmann;Stauffenbergallee 1
56412;Aldi Süd;Industriestraße 10
56412;Lidl;Industriestraße 28
56412;Real;Industriestraße 11
56414;Rewe;Frankfurter Straße 47
56414;Aldi Süd;Frankfurter Straße 49
56414;CAP-Markt;Hauptstraße 49a
56414;Norma;Frankfurter Straße 47
56422;Aldi;Auf der Klaus 7
56422;Lidl;Auf der Klaus 10-12
56422;Norma;Auf der Klaus 1
56457;Rewe;Günther-Koch-Straße 29
56470;Netto Marken-Discount;Jahnstraße 9a
56470;REWE:XL Hundertmark;An der Lehmkaute 2
56470;Aldi Süd;An der Lehmkaute 1
56470;Lidl;Jahnstraße 19
56477;Aldi Süd;Gewerbestraße 6-8
56477;Lidl;Hauptstraße 1c
56477;Netto Marken-Discount;Seitensteiner Straße 2a
56479;Unser Dorfladen Westernohe;Hauptstraße 
56564;Kaufland;Heddesdorfer Straße 11
56564;Mix Markt;Königsberger Straße 1
56564;Lidl;Stettiner Straße 3a
56566;Lidl;Sayner Straße 60
56566;Netto Marken-Discount;Bendorfer Straße 1b
56566;Edeka Kreuzberg;Breslauer Straße 63
56566;JAWOLL;Breslauer Straße 80
56566;Penny;Hauptstraße 17a
56566;Edeka;Am Königsgericht 1
56566;Lidl;Sayner Straße 60
56567;Aldi Süd;Büng 12
56567;Getränkequelle Irlich;Akazienweg 4
56567;Aldi Süd;Aubachstraße 77
56567;Lidl;Aubachstraße 88
56567;Rewe;Fritz-Erler-Straße 7
56579;Rewe;Westerwaldstraße 95
56579;ALDI SÜD;Westerwaldstraße 97
56587;Rewe;Raiffeisenstraße 
56587;Norma;Westerwaldpark 23
56587;ALDI SÜD;Über dem Stellweg 5
56593;Edeka Hoffmann;Landblum 1
56593;Lidl;Landblum 2
56598;Lidl;Industriestraße 1
