primary_key;zipcode;city;state;community;latitude;longitude
1;01945;Grünewald;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4;14.0
2;01945;Lindenau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4;13.7333
3;01945;Hohenbocka;Brandenburg;Landkreis Oberspreewald-Lausitz;51.431;14.0098
4;01945;Schwarzbach;Brandenburg;Landkreis Oberspreewald-Lausitz;51.45;13.9333
5;01945;Guteborn;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4167;13.9333
6;01945;Hermsdorf;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4055;13.8937
7;01945;Ruhland;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4576;13.8664
8;01945;Tettau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4333;13.7333
9;01945;Kroppen;Brandenburg;Landkreis Oberspreewald-Lausitz;51.3833;13.8
10;01968;Schipkau Hörlitz;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5299;13.9508
11;01968;Senftenberg;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5252;14.0016
12;01968;Schipkau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5456;13.9121
13;01979;Lauchhammer;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4881;13.7662
14;01983;Neu-Seeland;Brandenburg;Landkreis Oberspreewald-Lausitz;51.6214;14.1309
15;01983;Großräschen;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5876;14.0109
16;01987;Schwarzheide;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4767;13.8556
17;01990;Ortrand;Brandenburg;Landkreis Oberspreewald-Lausitz;51.375;13.7598
18;01990;Großkmehlen;Brandenburg;Landkreis Oberspreewald-Lausitz;51.379;13.725
19;01990;Frauendorf;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4148;13.7696
20;01993;Schipkau Schipkau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5101;13.8981
21;01993;Schipkau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5456;13.9121
22;01994;Schipkau Annahütte, Annahütte;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5632;13.8955
23;01994;Schipkau Annahütte, Karl-Marx-Siedlung;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5641;13.8692
24;01994;Schipkau Drochow;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5693;13.9237
25;01994;Schipkau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5456;13.9121
26;01994;Schipkau Meuro;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5504;13.9244
27;01994;Schipkau Annahütte;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5614;13.882
28;01994;Schipkau Annahütte, Annahütte-Siedlung;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5623;13.8742
29;01994;Schipkau Annahütte, Herrnnmühle;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5558;13.8891
30;01996;Hosena;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4547;14.0251
31;01998;Schipkau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5456;13.9121
32;01998;Schipkau Meuro;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5504;13.9244
33;01998;Schipkau Klettwitz;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5422;13.8994
34;03042;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7612;14.3544
35;03044;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7754;14.3374
36;03046;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.756;14.3197
37;03048;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7403;14.3198
38;03050;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7324;14.3347
39;03051;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7667;14.3333
40;03052;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7667;14.3333
41;03053;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7667;14.3333
42;03054;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7667;14.3333
43;03055;Cottbus;Brandenburg;Kreisfreie Stadt Cottbus;51.7667;14.3333
44;03058;Groß Oßnig;Brandenburg;Landkreis Spree-Neiße;51.6783;14.3592
45;03058;Groß Döbbern;Brandenburg;Landkreis Spree-Neiße;51.6515;14.3298
46;03058;Haasow;Brandenburg;Landkreis Spree-Neiße;51.7426;14.4209
47;03058;Klein Döbbern;Brandenburg;Landkreis Spree-Neiße;51.6682;14.345
48;03058;Neuhausen;Brandenburg;Landkreis Spree-Neiße;51.6788;14.4163
49;03058;Kathlow;Brandenburg;Landkreis Spree-Neiße;51.7252;14.4839
50;03058;Sergen;Brandenburg;Landkreis Spree-Neiße;51.7023;14.5025
51;03058;Koppatz;Brandenburg;Landkreis Spree-Neiße;51.6962;14.4266
52;03058;Gablenz;Brandenburg;Landkreis Spree-Neiße;51.6865;14.5094
53;03058;Groß Gaglow;Brandenburg;Kreisfreie Stadt Cottbus;51.7139;14.3248
54;03058;Frauendorf;Brandenburg;Landkreis Spree-Neiße;51.7007;14.3878
55;03058;Kiekebusch;Brandenburg;Kreisfreie Stadt Cottbus;51.7235;14.3631
